Date,Confirmed,Recovered,Deaths,Increase rate
1/22/20,557,30,17,
1/23/20,655,32,18,17.594254937163374
1/24/20,941,39,26,43.66412213740458
1/25/20,1434,42,42,52.39107332624867
1/26/20,2118,56,56,47.69874476987448
1/27/20,2927,65,82,38.196411709159584
1/28/20,5578,108,131,90.57055005124701
1/29/20,6167,127,133,10.559340265328075
1/30/20,8235,145,171,33.533322523106854
1/31/20,9927,225,213,20.546448087431692
2/1/20,12038,287,259,21.2652362244384
2/2/20,16787,476,362,39.45007476324971
2/3/20,19887,627,426,18.466670637993683
2/4/20,23898,857,492,20.16895459345301
2/5/20,27643,1130,564,15.670767428236672
2/6/20,30805,1493,634,11.438700575190826
2/7/20,34399,2016,719,11.666937185521832
2/8/20,37130,2617,806,7.93918427861275
2/9/20,40161,3247,906,8.163210342041475
2/10/20,42769,3949,1013,6.493862204626379
2/11/20,44811,4684,1113,4.774486193270827
2/12/20,45229,5151,1118,0.9328066769320033
2/13/20,60381,6294,1371,33.50063012668863
2/14/20,66909,8061,1523,10.811347940577335
2/15/20,69052,9397,1666,3.2028576125782777
2/16/20,71235,10867,1770,3.161385622429473
2/17/20,73270,12587,1868,2.8567417701972344
2/18/20,75152,14352,2008,2.568581957144807
2/19/20,75652,16123,2123,0.665318288269108
2/20/20,76212,18181,2248,0.7402315867392799
2/21/20,76841,18894,2252,0.82532934446019
2/22/20,78602,22892,2459,2.291745292226806
2/23/20,78982,23397,2470,0.4834482583140378
2/24/20,79550,25229,2630,0.7191511990073687
2/25/20,80404,27907,2710,1.0735386549340038
2/26/20,81381,30388,2771,1.2151136759365206
2/27/20,82740,33282,2814,1.6699229549894938
2/28/20,84128,36714,2873,1.6775441140923375
2/29/20,86022,39785,2943,2.251331304678585
3/1/20,88400,42721,2997,2.764409104647648
3/2/20,90379,45605,3086,2.23868778280543
3/3/20,92980,48227,3160,2.877880923665896
3/4/20,95282,51170,3255,2.475801247580125
3/5/20,98100,53796,3348,2.9575365756386307
3/6/20,102016,55864,3461,3.991845056065239
3/7/20,106113,58358,3565,4.016036700125471
3/8/20,110051,60695,3805,3.711138126337018
3/9/20,114232,62495,3995,3.7991476678994287
3/10/20,119055,64402,4271,4.222109391413965
3/11/20,126714,66999,4616,6.4331611440090715
3/12/20,132513,68328,4925,4.57644774847294
3/13/20,146864,70255,5417,10.829880841879664
3/14/20,157962,72622,5838,7.556651051312779
3/15/20,169241,76031,6488,7.140324888264265
3/16/20,184034,78086,7175,8.740789761346246
3/17/20,200039,80830,7991,8.69676255474532
3/18/20,219586,83317,8909,9.771594539064882
3/19/20,246684,84958,10025,12.340495295692804
3/20/20,277565,87403,11520,12.518444649835416
3/21/20,309680,91650,13243,11.570262821321133
3/22/20,344821,97867,14927,11.347520020666495
3/23/20,387488,98355,16885,12.373666337027037
3/24/20,428574,107974,19195,10.603167065818813
3/25/20,479663,113753,22019,11.920695142495811
3/26/20,542525,122125,25059,13.10545111880633
3/27/20,607435,130910,28544,11.964425602506797
3/28/20,677100,139421,32380,11.468716817437256
3/29/20,734000,148877,35857,8.40348545266578
3/30/20,799279,164213,39938,8.893596730245232
3/31/20,876098,177803,44670,9.611036947048527
4/1/20,959012,193075,50684,9.464009734070846
4/2/20,1041923,210218,56576,8.645460119372855
4/3/20,1126238,225640,62754,8.092248659449883
4/4/20,1185171,246052,68734,5.232730559615286
4/5/20,1256277,259888,73977,5.999640558197931
4/6/20,1330151,276597,79912,5.880391028411728
4/7/20,1399552,299859,88223,5.21752793479838
4/8/20,1482877,328741,95052,5.953690895372234
4/9/20,1570233,353995,102920,5.890980843320113
4/10/20,1655623,375733,110337,5.4380464555260275
4/11/20,1730100,401983,116623,4.498427480169096
4/12/20,1849635,421366,122563,6.90913820010404
4/13/20,1920621,448623,128582,3.837838276200439
4/14/20,2004469,473697,135687,4.365671311518514
4/15/20,2082629,510236,144231,3.899287043102188
4/16/20,2178015,541119,151650,4.580076432240212
4/17/20,2266210,567303,160151,4.049329320505138
4/18/20,2343459,591169,166353,3.4087308766619153
4/19/20,2420285,622952,171704,3.2783163690937203
4/20/20,2495724,645130,177752,3.1169469711211697
4/21/20,2571680,679932,185154,3.043445509198934
4/22/20,2653519,710017,192181,3.1823166179306908
4/23/20,2737032,738747,199179,3.147254645623416
4/24/20,2820960,788776,206093,3.066387239900739
4/25/20,2903927,816531,211977,2.941090976121604
4/26/20,2975368,845343,216230,2.4601513743286247
4/27/20,3045572,873227,221160,2.3595064543276663
4/28/20,3121378,906439,227995,2.489056242965197
4/29/20,3198365,948516,234942,2.4664427057536766
4/30/20,3281736,1013632,240996,2.6066755983135135
5/1/20,3370333,1051789,246467,2.699699183602825
5/2/20,3449993,1092440,252311,2.3635646685357203
5/3/20,3524895,1124973,256158,2.171076868851618
5/4/20,3602083,1159059,260710,2.189795724411649
5/5/20,3682186,1195532,266837,2.2237966199002077
5/6/20,3772588,1241651,273722,2.4551176936743557
5/7/20,3861478,1281176,279419,2.3562074628875456
5/8/20,3952059,1317589,285347,2.3457598360006195
5/9/20,4036214,1371030,289933,2.1293963475747706
5/10/20,4111910,1404839,293974,1.8754208770892722
5/11/20,4188263,1451724,297890,1.85687429929157
5/12/20,4272702,1488766,303770,2.0160863823499144
5/13/20,4357656,1544638,309256,1.988296866947426
5/14/20,4453534,1584349,314838,2.200219567584041
5/15/20,4549685,1632452,320474,2.1589820578443994
5/16/20,4643963,1688863,325024,2.0721874151726984
5/17/20,4722390,1729871,328598,1.6887946781660403
5/18/20,4811104,1782787,332747,1.878582666827602
5/19/20,4907901,1834839,337874,2.011949855999787
5/20/20,5010022,1893809,343067,2.080746942532052
5/21/20,5116701,1945029,348152,2.1293120070131426
5/22/20,5223039,2053576,353809,2.0782531556954376
5/23/20,5327488,2108410,358105,1.9997744608072046
5/24/20,5422310,2163937,361589,1.7798632301001898
5/25/20,5508898,2227666,363203,1.5968839848699172
5/26/20,5601705,2282818,367844,1.684674502958668
5/27/20,5705241,2346145,373262,1.8482944032218764
5/28/20,5823758,2413008,378273,2.077335558655629
5/29/20,5944873,2490273,383420,2.079670892918284
5/30/20,6081734,2560723,387798,2.3021686081435213
5/31/20,6188465,2637107,390953,1.7549435736584338
6/1/20,6284170,2692032,394468,1.5465062822525457
6/2/20,6405878,2796144,399670,1.936739458035031
6/3/20,6520061,2875235,405514,1.7824722856101851
6/4/20,6650903,2945305,410948,2.006760366199028
6/5/20,6781973,3014470,416001,1.970709841956799
6/6/20,6915861,3086674,420215,1.9741747718547389
6/7/20,7028667,3141783,423398,1.6311201164974254
6/8/20,7129889,3293394,427565,1.4401308242373696
6/9/20,7254441,3375664,432765,1.7468995660381248
6/10/20,7389761,3454835,438246,1.865340141301032
6/11/20,7527047,3540714,443301,1.8577867403289496
6/12/20,7656260,3620434,448108,1.7166493048336218
6/13/20,7791268,3706326,452550,1.7633674927444993
6/14/20,7924004,3777145,456196,1.7036508049780859
6/15/20,8042352,3857420,460034,1.4935378629288931
6/16/20,8183997,3955283,467130,1.7612385033631952
6/17/20,8328754,4074114,472704,1.7687811957897834
6/18/20,8469435,4155277,478025,1.6891001943387929
6/19/20,8649623,4250267,484407,2.127509095943236
6/20/20,8807276,4366121,488915,1.8226574730482472
6/21/20,8936132,4434807,493534,1.4630630401499851
6/22/20,9074333,4526440,497252,1.5465416133065177
6/23/20,9241366,4630495,502810,1.8407193123726007
6/24/20,9414277,4746246,508369,1.871054560548733
6/25/20,9592716,4839130,513422,1.8954084312581838
6/26/20,9784448,4945110,518498,1.998724865825278
6/27/20,9963205,5051396,523270,1.8269502786462763
6/28/20,10128231,5140599,526801,1.6563545565909765
6/29/20,10281763,5235170,530799,1.5158816974059932
6/30/20,10458102,5352510,536001,1.7150657917324101
7/1/20,10675387,5468424,541325,2.077671455107246
7/2/20,10885111,5753358,546794,1.9645564137393803
7/3/20,11087877,5863246,552109,1.8627830253637285
7/4/20,11284866,6059006,556907,1.7766160284786707
7/5/20,11468563,6178369,560749,1.6278172908743445
7/6/20,11632147,6302068,564898,1.4263687612824727
7/7/20,11841875,6447101,571230,1.8030033492527218
7/8/20,12055676,6605157,576913,1.8054657729455852
7/9/20,12280599,6739775,582712,1.8657020975016247
7/10/20,12513292,6879221,588378,1.8948017112194608
7/11/20,12731078,7004913,593620,1.7404372886047892
7/12/20,12925590,7116749,597922,1.5278517655771178
7/13/20,13115565,7257072,602203,1.4697588272566282
7/14/20,13336359,7399324,608196,1.683450160172284
7/15/20,13567328,7559130,614055,1.7318744943803626
7/16/20,13819200,7711615,620242,1.856459871833275
7/17/20,14061993,7895036,627280,1.7569251476207015
7/18/20,14299274,8045823,633857,1.6873923916759168
7/19/20,14513690,8133881,638758,1.4994887153012104
7/20/20,14719050,8293009,642544,1.4149399635792137
7/21/20,14953642,8467705,648953,1.5937985128116283
7/22/20,15233479,8647437,656310,1.871363511310489
7/23/20,15516190,8823667,662950,1.8558531508134155
7/24/20,15798092,9051967,669398,1.816824877756717
7/25/20,16054210,9271779,675584,1.621195774780904
7/26/20,16268583,9415080,679914,1.335307062757993
7/27/20,16494404,9586463,685120,1.3880803263566348
7/28/20,16744398,9756921,691735,1.515629179447769
7/29/20,17032640,9959507,698780,1.721423487425466
7/30/20,17312908,10173026,705459,1.645475980235595
7/31/20,17603693,10372632,711989,1.6795849663153066
8/1/20,17855082,10553543,718142,1.4280469444678454
8/2/20,18086471,10692267,722817,1.2959279604540601
8/3/20,18292702,10914712,727571,1.1402500797419244
8/4/20,18546826,11138369,734543,1.389209751517299
8/5/20,18824845,11360064,742000,1.4990112054752658
8/6/20,19107849,11548871,748831,1.5033536796717317
8/7/20,19391842,11740917,755567,1.4862635768159984
8/8/20,19651494,11941161,761657,1.3389754310085653
8/9/20,19878530,12119939,766831,1.1553116521318938
8/10/20,20102018,12284150,772110,1.124268243174923
8/11/20,20364286,12589218,778805,1.3046849326271621
8/12/20,20637694,12829863,785760,1.3425857405459736
8/13/20,20927109,12993779,792573,1.402361135890473
8/14/20,21230510,13277021,799206,1.4497989187135212
8/15/20,21481009,13445625,805210,1.1799010009651205
8/16/20,21696390,13678579,810028,1.0026577429393564
8/17/20,21902985,13889591,814531,0.9522091002235855
8/18/20,22159127,14117186,821583,1.16943877740865
8/19/20,22435555,14335183,828639,1.247467916944562
8/20/20,22708757,14542973,835054,1.2177189287271921
8/21/20,22969939,14711467,840800,1.150137808071133
8/22/20,23235515,14921384,846676,1.1561894004159088
8/23/20,23442080,15137915,851024,0.8890054728720237
8/24/20,23665636,15337336,855703,0.9536525769044384
8/25/20,23910255,15568885,862346,1.033646423024507
8/26/20,24192561,15794619,868917,1.1806900428289033
8/27/20,24477400,16001856,875139,1.177382584671379
8/28/20,24760761,16200974,880977,1.1576433771560706
8/29/20,25026075,16412387,886660,1.071509878068772
8/30/20,25247621,16622627,891088,0.885260673117938
8/31/20,25507708,16823417,895421,1.0301445827311808
9/1/20,25773751,17081379,902083,1.0429906128767037
9/2/20,26056880,17300616,908351,1.0985168592650716
9/3/20,26338480,17521985,914422,1.0807126563118838
9/4/20,26652804,17735486,920330,1.1934022008863077
9/5/20,26923244,17936474,925545,1.0146774800880238
9/6/20,27153603,18148265,929659,0.8556138331621552
9/7/20,27371786,18345813,939257,0.8035139940729045
9/8/20,27612309,18547610,944373,0.8787259990999491
9/9/20,27897617,18787877,950550,1.0332638244776993
9/10/20,28197446,19004538,956573,1.0747477105302576
9/11/20,28519172,19228208,962601,1.1409756755984213
9/12/20,28806425,19451142,967699,1.0072276993174978
9/13/20,29049361,19638990,971661,0.84333963690392
9/14/20,29311882,19867489,976177,0.9037066254228449
9/15/20,29597281,20093776,982789,0.9736631718154433
9/16/20,29901759,20323253,988690,1.028736389670389
9/17/20,30216605,20543464,994296,1.0529347119679482
9/18/20,30542646,20794613,1000184,1.0790126819343204
9/19/20,30835407,21031598,1005556,0.9585318835833674
9/20/20,31088072,21268675,1009535,0.8193989461530377
9/21/20,31362678,21514153,1013858,0.8833162764162409
9/22/20,31647530,21733546,1020067,0.9082515211232918
9/23/20,31923532,21996959,1025684,0.8721122943875873
9/24/20,32277162,22252629,1032270,1.107740835193299
9/25/20,32608418,22491837,1038190,1.0262860161001763
9/26/20,32897340,22753980,1043770,0.8860350109594399
9/27/20,33149335,22967859,1047612,0.7660041814930934
9/28/20,33403487,23190401,1051618,0.7666880798664588
9/29/20,33686356,23431685,1057721,0.8468247641331577
9/30/20,34012407,23679903,1064226,0.9679022569256229
10/1/20,34331133,23901445,1073081,0.937087457526896
10/2/20,34629300,24073730,1078109,0.8685032329110723
10/3/20,34963530,24329331,1083563,0.9651653368679125
10/4/20,35223828,24551490,1087589,0.7444843240942777
10/5/20,35523271,24788958,1094590,0.8501148711037312
10/6/20,35849375,25021584,1100452,0.9180010478201739
10/7/20,36200620,25276775,1106356,0.9797799822172631
10/8/20,36562261,25496281,1112712,0.9989911774991698
10/9/20,36923518,25703071,1118924,0.9880597920352902
10/10/20,37281246,25898476,1123845,0.9688350931241168
10/11/20,37569264,26121116,1127977,0.7725546512045225
10/12/20,37860857,26321235,1132047,0.776147757379543
10/13/20,38179108,26513680,1137400,0.8405805499859658
10/14/20,38560887,26725965,1143603,0.9999683596589004
10/15/20,38968266,26933292,1149691,1.0564565073412342
10/16/20,39380081,27136306,1156016,1.0567958040524563
10/17/20,39754819,27334589,1161753,0.9515927608173279
10/18/20,40071574,27536100,1165383,0.7967713297852017
10/19/20,40457800,27738631,1170292,0.9638403522656734
10/20/20,40846760,27950078,1176942,0.9613968134698376
10/21/20,41291515,28161300,1183799,1.0888378906919423
10/22/20,41763957,28388093,1189714,1.1441624265905477
10/23/20,42261626,28594827,1196779,1.1916231979646947
10/24/20,42719395,28806408,1202682,1.0831788630186638
10/25/20,43080668,29003666,1206941,0.8456884747548509
10/26/20,43565773,29242801,1212530,1.126038714162928
10/27/20,44036488,29832506,1220012,1.0804697531706828
10/28/20,44548606,30098468,1227223,1.1629401509039505
10/29/20,45099299,30345219,1234388,1.2361621371497011
10/30/20,45671436,30600993,1242016,1.2686161707302812
10/31/20,46149712,30845322,1248726,1.0472103395216215
11/1/20,46613903,31103269,1253847,1.005837262863092
11/2/20,47175195,31383406,1260032,1.2041300210368568
11/3/20,47731171,31634979,1269470,1.1785346091309215
11/4/20,48242555,31914298,1279621,1.0713837295129425
11/5/20,48839880,32217953,1287726,1.2381703249340754
11/6/20,49484835,32506314,1297465,1.3205499276411
11/7/20,50086710,32805330,1305174,1.216281715398263
11/8/20,50571432,33058570,1311207,0.9677657007218083
11/9/20,51070532,33315623,1318426,0.986920837044915
11/10/20,51630860,33572983,1328463,1.097164995265763
11/11/20,52282541,33953207,1338978,1.2621928048457842
11/12/20,52928985,34179446,1348746,1.2364433473116772
11/13/20,53582066,34481578,1358385,1.2338815868091935
11/14/20,54181625,34759397,1367624,1.118954614404006
11/15/20,54657132,34990157,1374220,0.8776167196904855
11/16/20,55187672,35380887,1382114,0.97066929893065
11/17/20,55799421,35814478,1393203,1.1084885044616486
11/18/20,56426867,36177588,1404651,1.124466864987721
11/19/20,57081330,36551887,1415765,1.1598428812289012
11/20/20,57754077,36907311,1427564,1.1785762525154897
11/21/20,58345034,37246581,1436604,1.0232299271270495
11/22/20,58833226,37520305,1444041,0.8367327371854818
11/23/20,59355769,37931518,1452518,0.8881766911778728
11/24/20,59948912,38303697,1465246,0.9993013484502239
11/25/20,60587932,38741107,1477391,1.0659409465179284
11/26/20,61177148,39107983,1488384,0.9724972953359754
11/27/20,61859969,39489609,1499792,1.116137352463701
11/28/20,62450021,39849315,1509082,0.9538511084607882
11/29/20,62939637,40167598,1516414,0.7840125466090716
11/30/20,63443499,40569854,1525280,0.80054799172102
12/1/20,64063456,41046058,1538015,0.9771797107218188
12/2/20,64718440,41508984,1550697,1.0223987915981305
12/3/20,65415055,41935968,1563270,1.0763779225828063
12/4/20,66102868,42426585,1575729,1.0514597901048925
12/5/20,66752177,42862533,1586073,0.9822705423310831
12/6/20,67289500,43178577,1593755,0.8049520242613212
12/7/20,67804925,43591716,1602417,0.7659813195223624
12/8/20,68457269,44032487,1614743,0.9620894057474438
12/9/20,69129268,44458967,1627403,0.9816327905222161
12/10/20,70632838,44950193,1640067,2.1750121815263546
12/11/20,71341418,45428333,1653142,1.0031877807316762
12/12/20,71983206,46933276,1663872,0.8996008461732566
12/13/20,72513354,47328395,1671644,0.7364884525982351
12/14/20,73045112,41338398,1680727,0.7333242370777664
12/15/20,73697625,41696562,1694495,0.8933013888732213
12/16/20,74429582,42058782,1708355,0.9931894006082286
12/17/20,75171100,42434191,1721747,0.9962678548967265
12/18/20,75892701,42751919,1734656,0.9599447127952099
12/19/20,76517707,43103505,1745652,0.8235390120059108
12/20/20,77049860,43380334,1753724,0.6954638617176544
12/21/20,77590173,43723554,1763239,0.7012511119423189
12/22/20,78251816,44086739,1777417,0.852740720142485
12/23/20,78948087,44410879,1791231,0.8897825451105186
12/24/20,79630256,44725551,1803060,0.8640728685420839
12/25/20,80110656,45017157,1811768,0.6032882777621612
12/26/20,80618354,45425321,1819320,0.6337459026674305
